Time,Abstich GOK
2025-04-14 11:00:00,-81.36 mm
2025-04-14 20:00:00,-87.73 mm
2025-04-14 23:00:00,-88.91 mm
2025-04-15 05:00:00,-89.73 mm
2025-04-15 11:00:00,-93.16 mm
2025-04-15 17:00:00,-100.09 mm
2025-04-15 20:00:00,-102.21 mm
2025-04-15 23:00:00,-83.18 mm
2025-04-16 05:00:00,-84.88 mm
2025-04-16 08:00:00,-87.67 mm
2025-04-16 11:00:00,-91.31 mm
2025-04-16 17:00:00,-100.55 mm
2025-04-16 20:00:00,-98.99 mm
2025-04-16 23:00:00,-75.59 mm
2025-04-17 05:00:00,-78.71 mm
2025-04-17 08:00:00,-81.25 mm
2025-04-17 11:00:00,-84.15 mm
2025-04-17 17:00:00,-89.60 mm
2025-04-17 20:00:00,-94.06 mm
2025-04-17 23:00:00,-96.99 mm
2025-04-18 05:00:00,-49.99 mm
2025-04-18 08:00:00,-50.25 mm
2025-04-18 11:00:00,-53.94 mm
2025-04-18 17:00:00,-57.58 mm
2025-04-18 20:00:00,-60.20 mm
2025-04-18 23:00:00,-61.67 mm
2025-04-19 05:00:00,-62.50 mm
2025-04-19 08:00:00,-63.33 mm
2025-04-19 11:00:00,-65.32 mm
2025-04-19 17:00:00,-70.53 mm
2025-04-19 20:00:00,-72.86 mm
2025-04-19 23:00:00,-74.20 mm
2025-04-20 05:00:00,-74.92 mm
2025-04-20 11:00:00,-79.57 mm
2025-04-20 17:00:00,-85.20 mm
2025-04-20 20:00:00,-89.12 mm
2025-04-20 23:00:00,-89.24 mm
2025-04-21 05:00:00,-76.96 mm
2025-04-21 08:00:00,-78.95 mm
2025-04-21 11:00:00,-82.81 mm
2025-04-21 17:00:00,-89.59 mm
2025-04-21 20:00:00,-92.57 mm
2025-04-21 23:00:00,-93.66 mm
2025-04-22 05:00:00,-94.54 mm
2025-04-22 08:00:00,-96.36 mm
2025-04-22 11:00:00,-98.60 mm
2025-04-22 17:00:00,-102.21 mm
